"ID

※入力不要","word
称号用ワード","furigana
ふりがな","publish_type
配布・販売種別

 'shop'
 => '一般称号(販売)',
 'login'     
=> '一般称号(期間内ログインで配布)',
'medal'    
 => 'メダル称号',
 'record'    
=> '特別称号(実績に応じて配布)',
 'evet'     
 => '特別称号(イベント時プレイにより配布)'
 'special'  
 => '特別称号(手動配布)',
","index
販売・設定用索引キー

a:あ行
ka:か行
sa:さ行
taた行
naな行
haは行
maま行
yaや行
raら行
waわ行
English:英語
number:数字
symbol:記号
other:その他
medal:メダル
special:特別","sub_index
サブ索引キー

あ,い,う,え,お などの2番目の索引。indexがひらがなのもののみ記入してください

あかさたな・・
a,ka,sa,ta,na,. ..
いきしちに・・
i,ki,si,ti,ni, ...
うくすつぬ・・
u,ku,su,tu,nu...
・・・","publish_start
配布開始日時

「一般称号(期間内ログインで配布)」「特別称号(イベント時プレイにより配布)」で使
用","publish_end
配布終了日時

「一般称号(期間内ログインで配布)」「特別称号(イベント時プレイにより配布)」で使
用","event_key
対応するイベントNO

「特別称号(イベント時プレイにより配布)」で使用

※Dcode内のイベントフラグと
連動しますので、これ単独で設定をしても配布されることはありません

※本来はNOが入るがとりあえず、今は名前で代用","medal_key
対応するメダルNO

「メダル称号」で使用<br />

※Dcode内のメダルフラグと連動しますので、これ単独で設
定をしても配布されることはありません","record_key
対応する実績条件キー

「特別称号(実績に応じて配布)」で使用

※TAITO様からお送りいただく月間戦績な
どのデータと連動しますので、これ単独で設定をしても配布されることはありません

※本来は条件キーが入るが、今は名前で代用","publish_status
配布ステータス

1:配布中
0:配布停止

一般称号（販売用）とイベント称号の時に使用。
これが0の時には、販売や配布を停止する

後から追加予定のものはここを0にして書いておいて頂いても大丈夫です","use_status
使用ステータス

1:称号に使用可
0:不可

0の場合には称号設定画面で選択できない

基本的には使うことはない想定のステータスだが、念のため用意

後から追加予定のものはここを0にして書いておいても大丈夫です",タイムスタンプ,メモ,メモ
,チャンス,ちゃんす,shop,ta,ti,,,,,,1,1,,,
,中学生,ちゅうがくせい,shop,ta,ti,,,,,,1,1,,,
,中学生は,ちゅうがくせいは,shop,ta,ti,,,,,,1,1,,,
,中級者,ちゅうきゅうしゃ,shop,ta,ti,,,,,,1,1,,,
,中段,ちゅうだん,shop,ta,ti,,,,,,1,1,,,
,チョッパー,ちょっぱー,shop,ta,ti,,,,,,1,1,,,
,チラリ,ちらり,shop,ta,ti,,,,,,1,1,,,
,チルドレン,ちるどれん,shop,ta,ti,,,,,,1,1,,,
,鎮守府,ちんじゅふ,shop,ta,ti,,,,,,1,1,,,
,つ,つ,shop,ta,tu,,,,,,1,1,,,
,ツ,つ,shop,ta,tu,,,,,,1,1,,,
,づ,づ,shop,ta,tu,,,,,,1,1,,,
,ヅ,づ,shop,ta,tu,,,,,,1,1,,,
,ツアー,つあー,shop,ta,tu,,,,,,1,1,,,
,杖,つえ,shop,ta,tu,,,,,,1,1,,,
,柄,つか,shop,ta,tu,,,,,,1,1,,,
,月,つき,shop,ta,tu,,,,,,1,1,,,
,突く,つく,shop,ta,tu,,,,,,1,1,,,
,漬け,づけ,shop,ta,tu,,,,,,1,1,,,
,蔦,つた,shop,ta,tu,,,,,,1,1,,,
,土,つち,shop,ta,tu,,,,,,1,1,,,
,筒,づつ,shop,ta,tu,,,,,,1,1,,,
,って,って,shop,ta,tu,,,,,,1,1,,,
,繋ぐ,つなぐ,shop,ta,tu,,,,,,1,1,,,
,常,つね,shop,ta,tu,,,,,,1,1,,,
,角,つの,shop,ta,tu,,,,,,1,1,,,
,つまり,つまり,shop,ta,tu,,,,,,1,1,,,
,罪,つみ,shop,ta,tu,,,,,,1,1,,,
,つもり,つもり,shop,ta,tu,,,,,,1,1,,,
,釣り,づり,shop,ta,tu,,,,,,1,1,,,
,釣る,つる,shop,ta,tu,,,,,,1,1,,,
,鶴,つる,shop,ta,tu,,,,,,1,1,,,
,吊るし,つるし,shop,ta,tu,,,,,,1,1,,,
,吊るす,つるす,shop,ta,tu,,,,,,1,1,,,
,ツンデレ,つんでれ,shop,ta,tu,,,,,,1,1,,,
,ツンドラ,つんどら,shop,ta,tu,,,,,,1,1,,,
,て,て,shop,ta,te,,,,,,1,1,,,
,テ,て,shop,ta,te,,,,,,1,1,,,
,で,で,shop,ta,te,,,,,,1,1,,,
,デ,で,shop,ta,te,,,,,,1,1,,,
,テーマ,てーま,shop,ta,te,,,,,,1,1,,,
,でかい,でかい,shop,ta,te,,,,,,1,1,,,
,できた,できた,shop,ta,te,,,,,,1,1,,,
,デコ,でこ,shop,ta,te,,,,,,1,1,,,
,です,です,shop,ta,te,,,,,,1,1,,,
,デストロイヤー,ですとろいやー,shop,ta,te,,,,,,1,1,,,
,徹夜,てつや,shop,ta,te,,,,,,1,1,,,
,デトックス,でとっくす,shop,ta,te,,,,,,1,1,,,
,デニム,でにむ,shop,ta,te,,,,,,1,1,,,
,手本,てほん,shop,ta,te,,,,,,1,1,,,
,テリヤキ,てりやき,shop,ta,te,,,,,,1,1,,,
,電気,でんき,shop,ta,te,,,,,,1,1,,,
,電撃,でんげき,shop,ta,te,,,,,,1,1,,,
,電波,でんぱ,shop,ta,te,,,,,,1,1,,,
,と,と,shop,ta,to,,,,,,1,1,,,
,ト,と,shop,ta,to,,,,,,1,1,,,
,ど,ど,shop,ta,to,,,,,,1,1,,,
,ド,ど,shop,ta,to,,,,,,1,1,,,
,トゥインクル,とぅいんくる,shop,ta,to,,,,,,1,1,,,
,尊い,とうとい,shop,ta,to,,,,,,1,1,,,
,動物園,どうぶつえん,shop,ta,to,,,,,,1,1,,,
,トカゲ,とかげ,shop,ta,to,,,,,,1,1,,,
,時,とき,shop,ta,to,,,,,,1,1,,,
,土佐,とさ,shop,ta,to,,,,,,1,1,,,
,年,とし,shop,ta,to,,,,,,1,1,,,
,トタン,とたん,shop,ta,to,,,,,,1,1,,,
,土地,とち,shop,ta,to,,,,,,1,1,,,
,突撃,とつげき,shop,ta,to,,,,,,1,1,,,
,とても,とても,shop,ta,to,,,,,,1,1,,,
,隣,となり,shop,ta,to,,,,,,1,1,,,
,とにかく,とにかく,shop,ta,to,,,,,,1,1,,,
,利根,とね,shop,ta,to,,,,,,1,1,,,
,殿様,とのさま,shop,ta,to,,,,,,1,1,,,
,苫小牧,とまこまい,shop,ta,to,,,,,,1,1,,,
,トマホーク,とまほーく,shop,ta,to,,,,,,1,1,,,
,虎,とら,shop,ta,to,,,,,,1,1,,,
,鳥,どり,shop,ta,to,,,,,,1,1,,,
,トロ,とろ,shop,ta,to,,,,,,1,1,,,
,な,な,shop,na,na,,,,,,1,1,,,
,ナ,な,shop,na,na,,,,,,1,1,,,
,ナイーブ,ないーぶ,shop,na,na,,,,,,1,1,,,
,ナイト,ないと,shop,na,na,,,,,,1,1,,,
,ナウい,なうい,shop,na,na,,,,,,1,1,,,
,萎える,なえる,shop,na,na,,,,,,1,1,,,
,泣き,なき,shop,na,na,,,,,,1,1,,,
,投げ,なげ,shop,na,na,,,,,,1,1,,,
,梨,なし,shop,na,na,,,,,,1,1,,,
,ナス,なす,shop,na,na,,,,,,1,1,,,
,納豆,なっとう,shop,na,na,,,,,,1,1,,,
,七,なな,shop,na,na,,,,,,1,1,,,
,何,なに,shop,na,na,,,,,,1,1,,,
,ナノ,なの,shop,na,na,,,,,,1,1,,,
,那覇,なは,shop,na,na,,,,,,1,1,,,
,生,なま,shop,na,na,,,,,,1,1,,,
,波,なみ,shop,na,na,,,,,,1,1,,,
,奈良,なら,shop,na,na,,,,,,1,1,,,
,鳴門,なると,shop,na,na,,,,,,1,1,,,
,ナレーター,なれーたー,shop,na,na,,,,,,1,1,,,
,何でもします,なんでもします,shop,na,na,,,,,,1,1,,,
,何でもする,なんでもする,shop,na,na,,,,,,1,1,,,
,に,に,shop,na,ni,,,,,,1,1,,,
,ニ,に,shop,na,ni,,,,,,1,1,,,
,二,に,shop,na,ni,,,,,,1,1,,,
,ニア,にあ,shop,na,ni,,,,,,1,1,,,
,肉,にく,shop,na,ni,,,,,,1,1,,,
,ニコ,にこ,shop,na,ni,,,,,,1,1,,,
,西,にし,shop,na,ni,,,,,,1,1,,,
,偽,にせ,shop,na,ni,,,,,,1,1,,,
,ニヤリ,にやり,shop,na,ni,,,,,,1,1,,,
,ニラ,にら,shop,na,ni,,,,,,1,1,,,
,煮る,にる,shop,na,ni,,,,,,1,1,,,
,にゃー,にゃー,shop,na,ni,,,,,,1,1,,,
,人魚,にんぎょ,shop,na,ni,,,,,,1,1,,,
,人参,にんじん,shop,na,ni,,,,,,1,1,,,
,忍者,にんじゃ,shop,na,ni,,,,,,1,1,,,
,ニンジャ,にんじゃ,shop,na,ni,,,,,,1,1,,,
,ニンニク,にんにく,shop,na,ni,,,,,,1,1,,,
,ぬ,ぬ,shop,na,nu,,,,,,1,1,,,
,ヌ,ぬ,shop,na,nu,,,,,,1,1,,,
,ヌカ,ぬか,shop,na,nu,,,,,,1,1,,,
,ヌケ,ぬけ,shop,na,nu,,,,,,1,1,,,
,ぬこ,ぬこ,shop,na,nu,,,,,,1,1,,,
,主,ぬし,shop,na,nu,,,,,,1,1,,,
,沼,ぬま,shop,na,nu,,,,,,1,1,,,
,ヌメヌメ,ぬめぬめ,shop,na,nu,,,,,,1,1,,,
,ヌラヌラ,ぬらぬら,shop,na,nu,,,,,,1,1,,,
,塗り,ぬり,shop,na,nu,,,,,,1,1,,,
,塗る,ぬる,shop,na,nu,,,,,,1,1,,,
,ね,ね,shop,na,ne,,,,,,1,1,,,
,ネ,ね,shop,na,ne,,,,,,1,1,,,
,ネコ,ねこ,shop,na,ne,,,,,,1,1,,,
,猫,ねこ,shop,na,ne,,,,,,1,1,,,
,値下げ,ねさげ,shop,na,ne,,,,,,1,1,,,
,ネタ,ねた,shop,na,ne,,,,,,1,1,,,
,妬ましい,ねたましい,shop,na,ne,,,,,,1,1,,,
,熱,ねつ,shop,na,ne,,,,,,1,1,,,
,ネット,ねっと,shop,na,ne,,,,,,1,1,,,
,寝てない,ねてない,shop,na,ne,,,,,,1,1,,,
,ネバー,ねばー,shop,na,ne,,,,,,1,1,,,
,眠り,ねむり,shop,na,ne,,,,,,1,1,,,
,狙う,ねらう,shop,na,ne,,,,,,1,1,,,
,練馬,ねりま,shop,na,ne,,,,,,1,1,,,
,寝る,ねる,shop,na,ne,,,,,,1,1,,,
,の,の,shop,na,no,,,,,,1,1,,,
,ノ,の,shop,na,no,,,,,,1,1,,,
,ノア,のあ,shop,na,no,,,,,,1,1,,,
,ノー,のー,shop,na,no,,,,,,1,1,,,
,納期,のうき,shop,na,no,,,,,,1,1,,,
,農民,のうみん,shop,na,no,,,,,,1,1,,,
,ノミ,のみ,shop,na,no,,,,,,1,1,,,
,ノラ,のら,shop,na,no,,,,,,1,1,,,
,海苔,のり,shop,na,no,,,,,,1,1,,,
,のんびり,のんびり,shop,na,no,,,,,,1,1,,,
,は,は,shop,ha,ha,,,,,,1,1,,,
,ハ,は,shop,ha,ha,,,,,,1,1,,,
,ば,ば,shop,ha,ha,,,,,,1,1,,,
,バ,ば,shop,ha,ha,,,,,,1,1,,,
,派,は,shop,ha,ha,,,,,,1,1,,,
,覇,は,shop,ha,ha,,,,,,1,1,,,
,ハイ,はい,shop,ha,ha,,,,,,1,1,,,
,墓,はか,shop,ha,ha,,,,,,1,1,,,
,覇者,はしゃ,shop,ha,ha,,,,,,1,1,,,
,旗,ばた,shop,ha,ha,,,,,,1,1,,,
,働いたら,はたらいたら,shop,ha,ha,,,,,,1,1,,,
,八,はち,shop,ha,ha,,,,,,1,1,,,
,蜂,ばち,shop,ha,ha,,,,,,1,1,,,
,初,はつ,shop,ha,ha,,,,,,1,1,,,
,ハッピー,はっぴー,shop,ha,ha,,,,,,1,1,,,
,果て,はて,shop,ha,ha,,,,,,1,1,,,
,鳩,ばと,shop,ha,ha,,,,,,1,1,,,
,波動,はどう,shop,ha,ha,,,,,,1,1,,,
,花火,はなび,shop,ha,ha,,,,,,1,1,,,
,ハニワ,はにわ,shop,ha,ha,,,,,,1,1,,,
,羽,はね,shop,ha,ha,,,,,,1,1,,,
,羽根,はね,shop,ha,ha,,,,,,1,1,,,
,母,はは,shop,ha,ha,,,,,,1,1,,,
,早い,はやい,shop,ha,ha,,,,,,1,1,,,
,速い,はやい,shop,ha,ha,,,,,,1,1,,,
,ハロー,はろー,shop,ha,ha,,,,,,1,1,,,
,ハンサム,はんさむ,shop,ha,ha,,,,,,1,1,,,
,パンツ,ぱんつ,shop,ha,ha,,,,,,1,1,,,
,ハンド,はんど,shop,ha,ha,,,,,,1,1,,,
,ひ,ひ,shop,ha,hi,,,,,,1,1,,,
,ヒ,ひ,shop,ha,hi,,,,,,1,1,,,
,び,び,shop,ha,hi,,,,,,1,1,,,
,ビ,び,shop,ha,hi,,,,,,1,1,,,
,火,ひ,shop,ha,hi,,,,,,1,1,,,
,日,ひ,shop,ha,hi,,,,,,1,1,,,
,非,ひ,shop,ha,hi,,,,,,1,1,,,
,ビール,びーる,shop,ha,hi,,,,,,1,1,,,
,ヒーロー,ひーろー,shop,ha,hi,,,,,,1,1,,,
,光,ひかり,shop,ha,hi,,,,,,1,1,,,
,翡翠,ひすい,shop,ha,hi,,,,,,1,1,,,
,人,ひと,shop,ha,hi,,,,,,1,1,,,
,日向,ひなた,shop,ha,hi,,,,,,1,1,,,
,暇,ひま,shop,ha,hi,,,,,,1,1,,,
,姫,ひめ,shop,ha,hi,,,,,,1,1,,,
,干物,ひもの,shop,ha,hi,,,,,,1,1,,,
,貧弱,ひんじゃく,shop,ha,hi,,,,,,1,1,,,
,ふ,ふ,shop,ha,hu,,,,,,1,1,,,
,フ,ふ,shop,ha,hu,,,,,,1,1,,,
,ぶ,ぶ,shop,ha,hu,,,,,,1,1,,,
,ブ,ぶ,shop,ha,hu,,,,,,1,1,,,
,ファイター,ふぁいたー,shop,ha,hu,,,,,,1,1,,,
,ファントム,ふぁんとむ,shop,ha,hu,,,,,,1,1,,,
,福,ふく,shop,ha,hu,,,,,,1,1,,,
,不思議,ふしぎ,shop,ha,hu,,,,,,1,1,,,
,不夜城,ふやじょう,shop,ha,hu,,,,,,1,1,,,
,ブラック,ぶらっく,shop,ha,hu,,,,,,1,1,,,
,ブラッド,ぶらっど,shop,ha,hu,,,,,,1,1,,,
,フリー,ふりー,shop,ha,hu,,,,,,1,1,,,
,プリンセス,ぷりんせす,shop,ha,hu,,,,,,1,1,,,
,ブレード,ぶれーど,shop,ha,hu,,,,,,1,1,,,
,ブレイカー,ぶれいかー,shop,ha,hu,,,,,,1,1,,,
,ブレット,ぶれっと,shop,ha,hu,,,,,,1,1,,,
,フレンズ,ふれんず,shop,ha,hu,,,,,,1,1,,,
,フレンド,ふれんど,shop,ha,hu,,,,,,1,1,,,
,フル,ふる,shop,ha,hu,,,,,,1,1,,,
,風呂,ぶろ,shop,ha,hu,,,,,,1,1,,,
,フローラル,ふろーらる,shop,ha,hu,,,,,,1,1,,,
,ブロッサム,ぶろっさむ,shop,ha,hu,,,,,,1,1,,,
,フワフワ,ふわふわ,shop,ha,hu,,,,,,1,1,,,
,へ,へ,shop,ha,he,,,,,,1,1,,,
,ヘ,へ,shop,ha,he,,,,,,1,1,,,
,べ,べ,shop,ha,he,,,,,,1,1,,,
,ベ,べ,shop,ha,he,,,,,,1,1,,,
,ヘア,へあ,shop,ha,he,,,,,,1,1,,,
,ベア,べあ,shop,ha,he,,,,,,1,1,,,
,兵,へい,shop,ha,he,,,,,,1,1,,,
,へこんだ,へこんだ,shop,ha,he,,,,,,1,1,,,
,ベスト4,べすと4,shop,ha,he,,,,,,1,1,,,
,ベスト8,べすと8,shop,ha,he,,,,,,1,1,,,
,ベスト16,べすと16,shop,ha,he,,,,,,1,1,,,
,ベスト32,べすと32,shop,ha,he,,,,,,1,1,,,
,ヘソ,へそ,shop,ha,he,,,,,,1,1,,,
,ペットボトル,ぺっとぼとる,shop,ha,he,,,,,,1,1,,,
,へなちょこ,へなちょこ,shop,ha,he,,,,,,1,1,,,
,ヘモグロビン,へもぐろびん,shop,ha,he,,,,,,1,1,,,
,ほ,ほ,shop,ha,ho,,,,,,1,1,,,
,ホ,ほ,shop,ha,ho,,,,,,1,1,,,
,ぼ,ぼ,shop,ha,ho,,,,,,1,1,,,
,ボ,ぼ,shop,ha,ho,,,,,,1,1,,,
,ぽい,ぽい,shop,ha,ho,,,,,,1,1,,,
,ボーキサイト,ぼーきさいと,shop,ha,ho,,,,,,1,1,,,
,他,ほか,shop,ha,ho,,,,,,1,1,,,
,星,ほし,shop,ha,ho,,,,,,1,1,,,
,補正,ほせい,shop,ha,ho,,,,,,1,1,,,
,補正切り,ほせいぎり,shop,ha,ho,,,,,,1,1,,,
,ポテンシャル,ぽてんしゃる,shop,ha,ho,,,,,,1,1,,,
,骨,ほね,shop,ha,ho,,,,,,1,1,,,
,炎,えん,shop,ha,ho,,,,,,1,1,,,
,焔,えん,shop,ha,ho,,,,,,1,1,,,
,褒めてやろう,ほめてやろう,shop,ha,ho,,,,,,1,1,,,
,ホヤ,ほや,shop,ha,ho,,,,,,1,1,,,
,滅び,ほろび,shop,ha,ho,,,,,,1,1,,,
,ホワイト,ほわいと,shop,ha,ho,,,,,,1,1,,,
,本,ぼん,shop,ha,ho,,,,,,1,1,,,
,ま,ま,shop,ma,ma,,,,,,1,1,,,
,マ,ま,shop,ma,ma,,,,,,1,1,,,
,マーブル,まーぶる,shop,ma,ma,,,,,,1,1,,,
,マーメイド,まーめいど,shop,ma,ma,,,,,,1,1,,,
,魔王,まおう,shop,ma,ma,,,,,,1,1,,,
,摩訶不思議,まかふしぎ,shop,ma,ma,,,,,,1,1,,,
,負け,まけ,shop,ma,ma,,,,,,1,1,,,
,魔剣,まけん,shop,ma,ma,,,,,,1,1,,,
,マジックハンド,まじっくはんど,shop,ma,ma,,,,,,1,1,,,
,また,また,shop,ma,ma,,,,,,1,1,,,
,町,まち,shop,ma,ma,,,,,,1,1,,,
,まったく,まったく,shop,ma,ma,,,,,,1,1,,,
,魔法,まほう,shop,ma,ma,,,,,,1,1,,,
,ママ,まま,shop,ma,ma,,,,,,1,1,,,
,マリン,まりん,shop,ma,ma,,,,,,1,1,,,
,丸,まる,shop,ma,ma,,,,,,1,1,,,
,稀,まれ,shop,ma,ma,,,,,,1,1,,,
,麻呂,まろ,shop,ma,ma,,,,,,1,1,,,
,漫画,まんが,shop,ma,ma,,,,,,1,1,,,
,慢心,まんしん,shop,ma,ma,,,,,,1,1,,,
,み,み,shop,ma,mi,,,,,,1,1,,,
,ミ,み,shop,ma,mi,,,,,,1,1,,,
,みかん,みかん,shop,ma,mi,,,,,,1,1,,,
,巫女,みこ,shop,ma,mi,,,,,,1,1,,,
,ミス,みす,shop,ma,mi,,,,,,1,1,,,
,水着,みずぎ,shop,ma,mi,,,,,,1,1,,,
,店,みせ,shop,ma,mi,,,,,,1,1,,,
,味噌,みそ,shop,ma,mi,,,,,,1,1,,,
,道,みち,shop,ma,mi,,,,,,1,1,,,
,蜜,みつ,shop,ma,mi,,,,,,1,1,,,
,見てるか,みてるか,shop,ma,mi,,,,,,1,1,,,
,美濃,みの,shop,ma,mi,,,,,,1,1,,,
,見本,みほん,shop,ma,mi,,,,,,1,1,,,
,未来,みらい,shop,ma,mi,,,,,,1,1,,,
,みりん,みりん,shop,ma,mi,,,,,,1,1,,,
,む,む,shop,ma,mu,,,,,,1,1,,,
,ム,む,shop,ma,mu,,,,,,1,1,,,
,昔,むかし,shop,ma,mu,,,,,,1,1,,,
,武蔵,むさし,shop,ma,mu,,,,,,1,1,,,
,無視,むし,shop,ma,mu,,,,,,1,1,,,
,夢想,むそう,shop,ma,mu,,,,,,1,1,,,
,無双,むそう,shop,ma,mu,,,,,,1,1,,,
,無駄,むだ,shop,ma,mu,,,,,,1,1,,,
,鞭,むち,shop,ma,mu,,,,,,1,1,,,
,陸奥,みちのく,shop,ma,mu,,,,,,1,1,,,
,無敵,むてき,shop,ma,mu,,,,,,1,1,,,
,胸,むね,shop,ma,mu,,,,,,1,1,,,
,無能,むのう,shop,ma,mu,,,,,,1,1,,,
,無理,むり,shop,ma,mu,,,,,,1,1,,,
,め,め,shop,ma,me,,,,,,1,1,,,
,メ,め,shop,ma,me,,,,,,1,1,,,
,姪,めい,shop,ma,me,,,,,,1,1,,,
,名人,めいじん,shop,ma,me,,,,,,1,1,,,
,メイド,めいど,shop,ma,me,,,,,,1,1,,,
,メカ,めか,shop,ma,me,,,,,,1,1,,,
,メガネ,めがね,shop,ma,me,,,,,,1,1,,,
,メザシ,めざし,shop,ma,me,,,,,,1,1,,,
,目指す,めざす,shop,ma,me,,,,,,1,1,,,
,目指そう,めざそう,shop,ma,me,,,,,,1,1,,,
,飯,めし,shop,ma,me,,,,,,1,1,,,
,メゾン,めぞん,shop,ma,me,,,,,,1,1,,,
,滅,めつ,shop,ma,me,,,,,,1,1,,,
,メリー,めりー,shop,ma,me,,,,,,1,1,,,
,メロン,めろん,shop,ma,me,,,,,,1,1,,,
,も,も,shop,ma,mo,,,,,,1,1,,,
,モ,も,shop,ma,mo,,,,,,1,1,,,
,モア,もあ,shop,ma,mo,,,,,,1,1,,,
,モーニング,もーにんぐ,shop,ma,mo,,,,,,1,1,,,
,萌え,もえ,shop,ma,mo,,,,,,1,1,,,
,モカ,もか,shop,ma,mo,,,,,,1,1,,,
,猛者,もさ,shop,ma,mo,,,,,,1,1,,,
,餅,もち,shop,ma,mo,,,,,,1,1,,,
,持つ,もつ,shop,ma,mo,,,,,,1,1,,,
,者,もの,shop,ma,mo,,,,,,1,1,,,
,森,もり,shop,ma,mo,,,,,,1,1,,,
,モルモット,もるもっと,shop,ma,mo,,,,,,1,1,,,
,モンキー,もんきー,shop,ma,mo,,,,,,1,1,,,
,や,や,shop,ya,ya,,,,,,1,1,,,
,ヤ,や,shop,ya,ya,,,,,,1,1,,,
,焼肉,やきにく,shop,ya,ya,,,,,,1,1,,,
,夜勤,やきん,shop,ya,ya,,,,,,1,1,,,
,役,やく,shop,ya,ya,,,,,,1,1,,,
,優しい,やさしい,shop,ya,ya,,,,,,1,1,,,
,ヤシの木,やしのき,shop,ya,ya,,,,,,1,1,,,
,安い,やすい,shop,ya,ya,,,,,,1,1,,,
,奴,やつ,shop,ya,ya,,,,,,1,1,,,
,薬莢,薬莢,shop,ya,ya,,,,,,1,1,,,
,屋根,やね,shop,ya,ya,,,,,,1,1,,,
,やばい,やばい,shop,ya,ya,,,,,,1,1,,,
,山,やま,shop,ya,ya,,,,,,1,1,,,
,闇,やみ,shop,ya,ya,,,,,,1,1,,,
,辞める,やめる,shop,ya,ya,,,,,,1,1,,,
,ヤモリ,やもり,shop,ya,ya,,,,,,1,1,,,
,槍,やり,shop,ya,ya,,,,,,1,1,,,
,やる気,やるき,shop,ya,ya,,,,,,1,1,,,
,やろうぜ,やろうぜ,shop,ya,ya,,,,,,1,1,,,
,ヤンキー,やんきー,shop,ya,ya,,,,,,1,1,,,
,ヤング,やんぐ,shop,ya,ya,,,,,,1,1,,,
,ゆ,ゆ,shop,ya,yu,,,,,,1,1,,,
,ユ,ゆ,shop,ya,yu,,,,,,1,1,,,
,有給,ゆうきゅう,shop,ya,yu,,,,,,1,1,,,
,勇者,ゆうしゃ,shop,ya,yu,,,,,,1,1,,,
,雪,ゆき,shop,ya,yu,,,,,,1,1,,,
,夢,ゆめ,shop,ya,yu,,,,,,1,1,,,
,揺ぎ無い,ゆるぎない,shop,ya,yu,,,,,,1,1,,,
,許す,ゆるす,shop,ya,yu,,,,,,1,1,,,
,よ,よ,shop,ya,yo,,,,,,1,1,,,
,ヨ,よ,shop,ya,yo,,,,,,1,1,,,
,宵闇,よいやみ,shop,ya,yo,,,,,,1,1,,,
,幼稚園,ようちえん,shop,ya,yo,,,,,,1,1,,,
,幼稚園児,ようちえんじ,shop,ya,yo,,,,,,1,1,,,
,横,よこ,shop,ya,yo,,,,,,1,1,,,
,嫁,よめ,shop,ya,yo,,,,,,1,1,,,
,夜,よる,shop,ya,yo,,,,,,1,1,,,
,よろしく,よろしく,shop,ya,yo,,,,,,1,1,,,
,よろしくお願いします,よろしくおねがいします,shop,ya,yo,,,,,,1,1,,,
,世論,よろん,shop,ya,yo,,,,,,1,1,,,
,四,よん,shop,ya,yo,,,,,,1,1,,,
,ら,ら,shop,ra,ra,,,,,,1,1,,,
,ラ,ら,shop,ra,ra,,,,,,1,1,,,
,ラーメン,らーめん,shop,ra,ra,,,,,,1,1,,,
,ライオン,らいおん,shop,ra,ra,,,,,,1,1,,,
,ライター,らいたー,shop,ra,ra,,,,,,1,1,,,
,ライダー,らいだー,shop,ra,ra,,,,,,1,1,,,
,ライト,らいと,shop,ra,ra,,,,,,1,1,,,
,楽,らく,shop,ra,ra,,,,,,1,1,,,
,ラスト,らすと,shop,ra,ra,,,,,,1,1,,,
,落下,らっか,shop,ra,ra,,,,,,1,1,,,
,ラッキー,らっきー,shop,ra,ra,,,,,,1,1,,,
,ラッコ,らっこ,shop,ra,ra,,,,,,1,1,,,
,ラテ,らて,shop,ra,ra,,,,,,1,1,,,
,ランナー,らんなー,shop,ra,ra,,,,,,1,1,,,
,乱暴,らんぼう,shop,ra,ra,,,,,,1,1,,,
,り,り,shop,ra,ri,,,,,,1,1,,,
,リ,り,shop,ra,ri,,,,,,1,1,,,
,リーチ,りーち,shop,ra,ri,,,,,,1,1,,,
,リアス,りあす,shop,ra,ri,,,,,,1,1,,,
,リアル,りある,shop,ra,ri,,,,,,1,1,,,
,リス,りす,shop,ra,ri,,,,,,1,1,,,
,理想,りそう,shop,ra,ri,,,,,,1,1,,,
,率,りつ,shop,ra,ri,,,,,,1,1,,,
,龍,りゅう,shop,ra,ri,,,,,,1,1,,,
,量産型,りょうさんがた,shop,ra,ri,,,,,,1,1,,,
,理論,りろん,shop,ra,ri,,,,,,1,1,,,
,りんご,りんご,shop,ra,ri,,,,,,1,1,,,
,る,る,shop,ra,ru,,,,,,1,1,,,
,ル,る,shop,ra,ru,,,,,,1,1,,,
,ルナ,るな,shop,ra,ru,,,,,,1,1,,,
,ルビー,るびー,shop,ra,ru,,,,,,1,1,,,
,れ,れ,shop,ra,re,,,,,,1,1,,,
,レ,れ,shop,ra,re,,,,,,1,1,,,
,レア,れあ,shop,ra,re,,,,,,1,1,,,
,例,れい,shop,ra,re,,,,,,1,1,,,
,霊,れい,shop,ra,re,,,,,,1,1,,,
,レッスン,れっすん,shop,ra,re,,,,,,1,1,,,
,レベル,れべる,shop,ra,re,,,,,,1,1,,,
,連コイン,れんこいん,shop,ra,re,,,,,,1,1,,,
,練習,れんしゅう,shop,ra,re,,,,,,1,1,,,
,練習中,れんしゅうちゅう,shop,ra,re,,,,,,1,1,,,
,連続技,れんぞくわざ,shop,ra,re,,,,,,1,1,,,
,ろ,ろ,shop,ra,ro,,,,,,1,1,,,
,ロ,ろ,shop,ra,ro,,,,,,1,1,,,
,ロー,ろー,shop,ra,ro,,,,,,1,1,,,
,漏洩,ろうえい,shop,ra,ro,,,,,,1,1,,,
,廊下,ろうか,shop,ra,ro,,,,,,1,1,,,
,老獪,ろうかい,shop,ra,ro,,,,,,1,1,,,
,ロケット,ろけっと,shop,ra,ro,,,,,,1,1,,,
,ロサンゼルス,ろさんぜるす,shop,ra,ro,,,,,,1,1,,,
,ロシア,ろしあ,shop,ra,ro,,,,,,1,1,,,
,ロス,ろす,shop,ra,ro,,,,,,1,1,,,
,ロック,ろっく,shop,ra,ro,,,,,,1,1,,,
,ロマン,ろまん,shop,ra,ro,,,,,,1,1,,,
,ロング,ろんぐ,shop,ra,ro,,,,,,1,1,,,
,ロンドン,ろんどん,shop,ra,ro,,,,,,1,1,,,
